size: 250
targets_num: 50
Map	AntTime	PlanTime	FullTime
0	107.1925151348114	0.003	107.196
1	103.92410206794739	0.004	103.928
2	103.12069177627563	0.004	103.125
3	115.31906032562256	0.004	115.323
4	123.0520658493042	0.004	123.056
5	121.08852410316467	0.004	121.093
6	93.98898005485535	0.003	93.992
7	105.00388193130493	0.003	105.007
8	98.69693517684937	0.003	98.7
9	103.89222502708435	0.004	103.896
mean map by ant:	103.92410206794739	0.004	103.928
mean map by plan:	103.92410206794739	0.004	103.928
mean map by full:	103.92410206794739	0.004	103.928
